Code,Name,Status
IGD,INSTALASI GAWAT DARURAT,true
RI,RAWAT INAP,true
RJ,RAWAT JALAN,true
OK,INSTALASI KAMAR OPERASI,true
VK,INSTALASI KEBIDANAN,true
LAB,INSTALASI LABORATORIUM,true
RAD,INSTALASI RADIOLOGI,true
FAR,INSTALASI FARMASI,true
GIZI,INSTALASI GIZI,true
REHAB,INSTALASI REHABILITASI,true
INTENSIVE,INSTALASI INTENSIVE,true
NICU,INSTALASI NICU,true
PICU,INSTALASI PICU,true
ICU,INSTALASI ICU,true
OKULARIS,INSTALASI OKULARIS,true
KARDIO,INSTALASI KARDIOVASKULER,true
NEURO,INSTALASI NEUROLOGI,true
ONKO,INSTALASI ONKOLOGI,true
GERIATRI,INSTALASI GERIATRI,true
PSIKIATRI,INSTALASI PSIKIATRI,true