Code,Specialist_Code,Name,Status
SS001,SP001,MEDICINE,true
SS002,SP002,PEDIATRICS,true
SS003,SP003,OBSTETRICS,true
SS004,SP004,SURGERY,true
SS005,SP005,CARDIOLOGY,true
SS006,SP006,NEUROLOGY,true
SS007,SP007,OTORHINOLARYNGOLOGY,true
SS008,SP008,OPHTHALMOLOGY,true
SS009,SP009,DERMATOLOGY,true
SS010,SP010,DENTISTRY,true
SS011,SP011,PSYCHIATRY,true
SS012,SP012,ORTHOPEDICS,true
SS013,SP013,UROLOGY,true
SS014,SP014,PULMONOLOGY,true
SS015,SP015,NUTRITION,true
SS016,SP016,PHYSICAL MEDICINE,true
SS017,SP017,GERIATRICS,true
SS018,SP018,ONCOLOGY,true
SS019,SP019,CARDIOVASCULAR,true
SS020,SP020,NEPHROLOGY,true